,Modelo,MSE,RMSE,MAE,MAPE
0,GAT + LSTM,0.22467628121376038,0.47400030493736267,0.2481352686882019,0.7665165662765503
1,GAT + GRU,0.19870992004871368,0.44576892256736755,0.25475242733955383,0.7675775289535522
2,GCN + LSTM,0.21355792880058289,0.4621232748031616,0.25558730959892273,0.7671785950660706
3,GCN + GRU,0.19106291234493256,0.4371074438095093,0.23464979231357574,0.7672644257545471
4,"promedio_('GAT + LSTM', 'GCN + LSTM')",0.20743268728256226,0.455447793006897,0.23860234022140503,0.7668247818946838
5,"promedio_('GAT + LSTM', 'GAT + GRU')",0.19242531061172485,0.4386630952358246,0.2357741892337799,0.7669979929924011
6,"promedio_('GAT + LSTM', 'GCN + GRU')",0.19503328204154968,0.441625714302063,0.22843660414218903,0.7668614387512207
7,"promedio_('GCN + LSTM', 'GAT + GRU')",0.19520987570285797,0.44182562828063965,0.2436574101448059,0.7673655152320862
8,"promedio_('GCN + LSTM', 'GCN + GRU')",0.19485995173454285,0.4414294362068176,0.23530276119709015,0.7672146558761597
9,"promedio_('GAT + GRU', 'GCN + GRU')",0.18849636614322662,0.4341616928577423,0.23747341334819794,0.7674155831336975
10,"promedio_('GAT + LSTM', 'GCN + LSTM', 'GAT + GRU')",0.19370302557945251,0.4401170611381531,0.23453862965106964,0.767052948474884
11,"promedio_('GAT + LSTM', 'GCN + LSTM', 'GCN + GRU')",0.19555628299713135,0.44221746921539307,0.22977079451084137,0.7669609189033508
12,"promedio_('GAT + LSTM', 'GAT + GRU', 'GCN + GRU')",0.18770787119865417,0.4332526624202728,0.22964338958263397,0.7670841217041016
13,"promedio_('GCN + LSTM', 'GAT + GRU', 'GCN + GRU')",0.19010376930236816,0.43600890040397644,0.2354130744934082,0.767329216003418
14,"promedio_('GAT + LSTM', 'GCN + LSTM', 'GAT + GRU', 'GCN + GRU')",0.18986348807811737,0.43573328852653503,0.2301921844482422,0.7671036720275879
15,GAT_LSTM_boosted_GAT_GRU,0.19028472900390625,0.4362163841724396,0.2360619157552719,0.7665108442306519
16,GAT_LSTM_boosted_GCN_LSTM,0.2055518925189972,0.4533783197402954,0.2506292760372162,0.7667760252952576
17,GAT_LSTM_boosted_GCN_GRU,0.1831490695476532,0.4279592037200928,0.23035725951194763,0.7670921683311462
18,GAT_LSTM_boosted_GAT_LSTM,0.2097858488559723,0.4580238461494446,0.25231659412384033,0.7665829062461853
19,GAT_GRU_boosted_GAT_LSTM,0.19216519594192505,0.43836650252342224,0.24673587083816528,0.7678621411323547
20,GAT_GRU_boosted_GCN_LSTM,0.1908133625984192,0.4368218779563904,0.2460717111825943,0.7677337527275085
21,GAT_GRU_boosted_GCN_GRU,0.17516785860061646,0.41853058338165283,0.23619769513607025,0.768144965171814
22,GAT_GRU_boosted_GAT_GRU,0.1957673579454422,0.44245606660842896,0.2500339150428772,0.7674275636672974
23,GCN_LSTM_boosted_GAT_LSTM,0.2042524218559265,0.45194295048713684,0.2575036585330963,0.7669275999069214
24,GCN_LSTM_boosted_GAT_GRU,0.19414570927619934,0.44061967730522156,0.24816220998764038,0.7664058804512024
25,GCN_LSTM_boosted_GCN_GRU,0.18458352982997894,0.4296318590641022,0.24560867249965668,0.7669375538825989
26,GCN_LSTM_boosted_GCN_LSTM,0.20780590176582336,0.4558573365211487,0.2536841034889221,0.7667636871337891
27,GCN_GRU_boosted_GAT_LSTM,0.18076300621032715,0.42516231536865234,0.23643018305301666,0.7673101425170898
28,GCN_GRU_boosted_GAT_GRU,0.18756666779518127,0.4330896735191345,0.23902221024036407,0.7664937973022461
29,GCN_GRU_boosted_GCN_LSTM,0.18312491476535797,0.4279309809207916,0.23433712124824524,0.7674418091773987
30,GCN_GRU_boosted_GCN_GRU,0.1671418398618698,0.40882983803749084,0.2247256338596344,0.7672401070594788
31,"prom_pasting_('GAT + LSTM', 'GCN + LSTM')",0.22808729112148285,0.4775848388671875,0.2464318722486496,0.7661431431770325
32,"prom_pasting_('GAT + LSTM', 'GAT + GRU')",0.2387010008096695,0.48857036232948303,0.2550356090068817,0.765609085559845
33,"prom_pasting_('GAT + LSTM', 'GCN + GRU')",0.23267096281051636,0.48235979676246643,0.24777355790138245,0.7661502957344055
34,"prom_pasting_('GCN + LSTM', 'GAT + GRU')",0.21460174024105072,0.4632512629032135,0.25045379996299744,0.7661554217338562
35,"prom_pasting_('GCN + LSTM', 'GCN + GRU')",0.2107841521501541,0.45911234617233276,0.24498599767684937,0.7667076587677002
36,"prom_pasting_('GAT + GRU', 'GCN + GRU')",0.2222883403301239,0.47147464752197266,0.2547453045845032,0.7661418318748474
37,"prom_pasting_('GAT + LSTM', 'GCN + LSTM', 'GAT + GRU')",0.22271975874900818,0.47193193435668945,0.24609050154685974,0.7659429907798767
38,"prom_pasting_('GAT + LSTM', 'GCN + LSTM', 'GCN + GRU')",0.2196057140827179,0.46862107515335083,0.2421277016401291,0.7663097381591797
39,"prom_pasting_('GAT + LSTM', 'GAT + GRU', 'GCN + GRU')",0.22755467891693115,0.47702690958976746,0.24899926781654358,0.7659578323364258
40,"prom_pasting_('GCN + LSTM', 'GAT + GRU', 'GCN + GRU')",0.21324262022972107,0.4617820084095001,0.24691535532474518,0.7663238048553467
41,"prom_pasting_('GAT + LSTM', 'GCN + LSTM', 'GAT + GRU', 'GCN + GRU')",0.21890993416309357,0.467878133058548,0.24405206739902496,0.7661228775978088
42,"prom_bagging_('GAT + LSTM', 'GCN + LSTM')",0.22018462419509888,0.4692383408546448,0.2549881339073181,0.7660633325576782
43,"prom_bagging_('GAT + LSTM', 'GAT + GRU')",0.1984557956457138,0.4454837739467621,0.23911921679973602,0.7676380276679993
44,"prom_bagging_('GAT + LSTM', 'GCN + GRU')",0.20469042658805847,0.4524272680282593,0.24363070726394653,0.7659081220626831
45,"prom_bagging_('GCN + LSTM', 'GAT + GRU')",0.19904018938541412,0.44613921642303467,0.25020116567611694,0.7673488855361938
46,"prom_bagging_('GCN + LSTM', 'GCN + GRU')",0.2046850323677063,0.45242130756378174,0.25504136085510254,0.7656096816062927
47,"prom_bagging_('GAT + GRU', 'GCN + GRU')",0.18853865563869476,0.4342103898525238,0.24173393845558167,0.7672122716903687
48,"prom_bagging_('GAT + LSTM', 'GCN + LSTM', 'GAT + GRU')",0.20131199061870575,0.44867804646492004,0.243266299366951,0.7670052647590637
49,"prom_bagging_('GAT + LSTM', 'GCN + LSTM', 'GCN + GRU')",0.2065117210149765,0.4544356167316437,0.247224822640419,0.765855610370636
50,"prom_bagging_('GAT + LSTM', 'GAT + GRU', 'GCN + GRU')",0.19286322593688965,0.4391619563102722,0.23689424991607666,0.7669119238853455
51,"prom_bagging_('GCN + LSTM', 'GAT + GRU', 'GCN + GRU')",0.19357769191265106,0.4399746358394623,0.2451201230287552,0.7667189240455627
52,"prom_bagging_('GAT + LSTM', 'GCN + LSTM', 'GAT + GRU', 'GCN + GRU')",0.19654963910579681,0.44333919882774353,0.24099814891815186,0.7666187286376953
53,Stacking regresion,0.19123534455645047,0.43730464577674866,0.23467214405536652,0.7673670053482056
54,Stacking Red Neuronal,0.20261365175247192,0.4501262605190277,0.24320626258850098,0.7675800323486328
