,Modelo,MSE,RMSE,MAE,MAPE
0,GAT + LSTM,91.76644134521484,9.579480171203613,5.014779567718506,0.03707408532500267
1,GAT + GRU,81.16078186035156,9.008928298950195,5.1485114097595215,0.03716796636581421
2,GCN + LSTM,87.22527313232422,9.339447021484375,5.165383338928223,0.037590231746435165
3,GCN + GRU,78.03744506835938,8.833880424499512,4.742239475250244,0.03462996333837509
4,"promedio_('GAT + LSTM', 'GCN + LSTM')",84.72349548339844,9.204536437988281,4.822120189666748,0.03555672615766525
5,"promedio_('GAT + LSTM', 'GAT + GRU')",78.59391021728516,8.865320205688477,4.764963626861572,0.034995827823877335
6,"promedio_('GAT + LSTM', 'GCN + GRU')",79.65910339355469,8.92519474029541,4.616671562194824,0.0341055691242218
7,"promedio_('GCN + LSTM', 'GAT + GRU')",79.73123168945312,8.929234504699707,4.924282073974609,0.03580852970480919
8,"promedio_('GCN + LSTM', 'GCN + GRU')",79.58830261230469,8.92122745513916,4.755436420440674,0.03479255363345146
9,"promedio_('GAT + GRU', 'GCN + GRU')",76.98918151855469,8.774348258972168,4.799305438995361,0.034929774701595306
10,"promedio_('GAT + LSTM', 'GCN + LSTM', 'GAT + GRU')",79.11578369140625,8.894705772399902,4.739993572235107,0.03480278328061104
11,"promedio_('GAT + LSTM', 'GCN + LSTM', 'GCN + GRU')",79.87271881103516,8.937153816223145,4.643636226654053,0.03423294425010681
12,"promedio_('GAT + LSTM', 'GAT + GRU', 'GCN + GRU')",76.6671371459961,8.755977630615234,4.641061305999756,0.034102290868759155
13,"promedio_('GCN + LSTM', 'GAT + GRU', 'GCN + GRU')",77.64570617675781,8.81167984008789,4.757665157318115,0.03471939265727997
14,"promedio_('GAT + LSTM', 'GCN + LSTM', 'GAT + GRU', 'GCN + GRU')",77.54755401611328,8.806108474731445,4.652152061462402,0.034175701439380646
15,GAT_LSTM_boosted_GAT_GRU,77.7196044921875,8.815872192382812,4.770779609680176,0.03523207828402519
16,GAT_LSTM_boosted_GCN_LSTM,83.95531463623047,9.162713050842285,5.065183639526367,0.03708522021770477
17,GAT_LSTM_boosted_GCN_GRU,74.80513763427734,8.648996353149414,4.65548849105835,0.03409794718027115
18,GAT_LSTM_boosted_GAT_LSTM,85.68460845947266,9.256598472595215,5.0992841720581055,0.03741283342242241
19,GAT_GRU_boosted_GAT_LSTM,78.48766326904297,8.859326362609863,4.986497402191162,0.035770583897829056
20,GAT_GRU_boosted_GCN_LSTM,77.93553161621094,8.828110694885254,4.9730753898620605,0.0357753224670887
21,GAT_GRU_boosted_GCN_GRU,71.54530334472656,8.45844554901123,4.773523330688477,0.03419800102710724
22,GAT_GRU_boosted_GAT_GRU,79.95893859863281,8.941976547241211,5.053151607513428,0.036539047956466675
23,GCN_LSTM_boosted_GAT_LSTM,83.42456817626953,9.133705139160156,5.204113960266113,0.03786276653409004
24,GCN_LSTM_boosted_GAT_GRU,79.29658508300781,8.904863357543945,5.015324115753174,0.03696305304765701
25,GCN_LSTM_boosted_GCN_GRU,75.39102935791016,8.682801246643066,4.963717460632324,0.03626309707760811
26,GCN_LSTM_boosted_GCN_LSTM,84.87593078613281,9.212813377380371,5.126920223236084,0.03749825805425644
27,GCN_GRU_boosted_GAT_LSTM,73.83057403564453,8.592472076416016,4.778221130371094,0.034786004573106766
28,GCN_GRU_boosted_GAT_GRU,76.60944366455078,8.752681732177734,4.830606460571289,0.035714566707611084
29,GCN_GRU_boosted_GCN_LSTM,74.79527282714844,8.648426055908203,4.735921382904053,0.03443605825304985
30,GCN_GRU_boosted_GCN_GRU,68.26715850830078,8.262393951416016,4.5416741371154785,0.03324471786618233
31,"prom_pasting_('GAT + LSTM', 'GCN + LSTM')",93.15962219238281,9.651923179626465,4.980354309082031,0.03703084960579872
32,"prom_pasting_('GAT + LSTM', 'GAT + GRU')",97.49468231201172,9.873939514160156,5.154234886169434,0.0385613739490509
33,"prom_pasting_('GAT + LSTM', 'GCN + GRU')",95.03179931640625,9.748425483703613,5.007469177246094,0.03726842254400253
34,"prom_pasting_('GCN + LSTM', 'GAT + GRU')",87.651611328125,9.36224365234375,5.061636447906494,0.03749752417206764
35,"prom_pasting_('GCN + LSTM', 'GCN + GRU')",86.09236907958984,9.278597831726074,4.9511332511901855,0.036450885236263275
36,"prom_pasting_('GAT + GRU', 'GCN + GRU')",90.79112243652344,9.528437614440918,5.148366928100586,0.03813681751489639
37,"prom_pasting_('GAT + LSTM', 'GCN + LSTM', 'GAT + GRU')",90.96733093261719,9.537679672241211,4.973454475402832,0.03710145130753517
38,"prom_pasting_('GAT + LSTM', 'GCN + LSTM', 'GCN + GRU')",89.69544219970703,9.470767974853516,4.893367767333984,0.03635459020733833
39,"prom_pasting_('GAT + LSTM', 'GAT + GRU', 'GCN + GRU')",92.94209289550781,9.640647888183594,5.032240867614746,0.037527911365032196
40,"prom_pasting_('GCN + LSTM', 'GAT + GRU', 'GCN + GRU')",87.09650421142578,9.332551002502441,4.99012565612793,0.03694911301136017
41,"prom_pasting_('GAT + LSTM', 'GCN + LSTM', 'GAT + GRU', 'GCN + GRU')",89.4112548828125,9.4557523727417,4.932258605957031,0.03672373667359352
42,"prom_bagging_('GAT + LSTM', 'GCN + LSTM')",89.931884765625,9.48324203491211,5.153275012969971,0.038177695125341415
43,"prom_bagging_('GAT + LSTM', 'GAT + GRU')",81.0569839477539,9.003165245056152,4.832565784454346,0.0350332073867321
44,"prom_bagging_('GAT + LSTM', 'GCN + GRU')",83.60346221923828,9.143492698669434,4.92374324798584,0.03668695315718651
45,"prom_bagging_('GCN + LSTM', 'GAT + GRU')",81.2956771850586,9.016411781311035,5.056530475616455,0.036655183881521225
46,"prom_bagging_('GCN + LSTM', 'GCN + GRU')",83.60124969482422,9.14337158203125,5.154350280761719,0.03844885900616646
47,"prom_bagging_('GAT + GRU', 'GCN + GRU')",77.00645446777344,8.7753324508667,4.885409355163574,0.03557424247264862
48,"prom_bagging_('GAT + LSTM', 'GCN + LSTM', 'GAT + GRU')",82.22357177734375,9.067721366882324,4.916378021240234,0.03595823422074318
49,"prom_bagging_('GAT + LSTM', 'GCN + LSTM', 'GCN + GRU')",84.34734344482422,9.184081077575684,4.996379375457764,0.0372505709528923
50,"prom_bagging_('GAT + LSTM', 'GAT + GRU', 'GCN + GRU')",78.77277374267578,8.875402450561523,4.787599563598633,0.035130247473716736
51,"prom_bagging_('GCN + LSTM', 'GAT + GRU', 'GCN + GRU')",79.0645751953125,8.891826629638672,4.9538445472717285,0.036385390907526016
52,"prom_bagging_('GAT + LSTM', 'GCN + LSTM', 'GAT + GRU', 'GCN + GRU')",80.27845001220703,8.959824562072754,4.87053918838501,0.035902976989746094
53,Stacking regresion,78.10788069246887,8.837865829467773,4.742691516876221,0.03459182009100914
54,Stacking Red Neuronal,82.75521850585938,9.096989631652832,4.915164947509766,0.03584457188844681
